sample,fq1,fq2,condition
0Houra,https://s3-us-west-2.amazonaws.com/eelpond.ucdavis.edu/nema-extract/0Hour_001_1.fq.gz,https://s3-us-west-2.amazonaws.com/eelpond.ucdavis.edu/nema-extract/0Hour_001_2.fq.gz,time0
0Hourb,https://s3-us-west-2.amazonaws.com/eelpond.ucdavis.edu/nema-extract/0Hour_002_1.fq.gz,https://s3-us-west-2.amazonaws.com/eelpond.ucdavis.edu/nema-extract/0Hour_002_2.fq.gz,time0
0Hourc,https://s3-us-west-2.amazonaws.com/eelpond.ucdavis.edu/nema-extract/0Hour_003_1.fq.gz,https://s3-us-west-2.amazonaws.com/eelpond.ucdavis.edu/nema-extract/0Hour_003_2.fq.gz,time0
0Hourd,https://s3-us-west-2.amazonaws.com/eelpond.ucdavis.edu/nema-extract/0Hour_004_1.fq.gz,https://s3-us-west-2.amazonaws.com/eelpond.ucdavis.edu/nema-extract/0Hour_004_2.fq.gz,time0
0Houre,https://s3-us-west-2.amazonaws.com/eelpond.ucdavis.edu/nema-extract/0Hour_005_1.fq.gz,https://s3-us-west-2.amazonaws.com/eelpond.ucdavis.edu/nema-extract/0Hour_005_2.fq.gz,time0
6Houra,https://s3-us-west-2.amazonaws.com/eelpond.ucdavis.edu/nema-extract/6Hour_001_1.fq.gz,https://s3-us-west-2.amazonaws.com/eelpond.ucdavis.edu/nema-extract/6Hour_001_2.fq.gz,time6
6Hourb,https://s3-us-west-2.amazonaws.com/eelpond.ucdavis.edu/nema-extract/6Hour_002_1.fq.gz,https://s3-us-west-2.amazonaws.com/eelpond.ucdavis.edu/nema-extract/6Hour_002_2.fq.gz,time6
6Hourc,https://s3-us-west-2.amazonaws.com/eelpond.ucdavis.edu/nema-extract/6Hour_003_1.fq.gz,https://s3-us-west-2.amazonaws.com/eelpond.ucdavis.edu/nema-extract/6Hour_003_2.fq.gz,time6
6Hourd,https://s3-us-west-2.amazonaws.com/eelpond.ucdavis.edu/nema-extract/6Hour_004_1.fq.gz,https://s3-us-west-2.amazonaws.com/eelpond.ucdavis.edu/nema-extract/6Hour_004_2.fq.gz,time6
6Houre,https://s3-us-west-2.amazonaws.com/eelpond.ucdavis.edu/nema-extract/6Hour_005_1.fq.gz,https://s3-us-west-2.amazonaws.com/eelpond.ucdavis.edu/nema-extract/6Hour_005_2.fq.gz,time6
