sample	unit	fq1	fq2	condition
0Hour	001	nema_testdata/0Hour_ATCACG_L002_R1_001.extract.fastq.gz	nema_testdata/0Hour_ATCACG_L002_R2_001.extract.fastq.gz	time0
0Hour	002	nema_testdata/0Hour_ATCACG_L002_R1_002.extract.fastq.gz	nema_testdata/0Hour_ATCACG_L002_R2_002.extract.fastq.gz	time0
0Hour	003	nema_testdata/0Hour_ATCACG_L002_R1_003.extract.fastq.gz	nema_testdata/0Hour_ATCACG_L002_R2_003.extract.fastq.gz	time0
0Hour	004	nema_testdata/0Hour_ATCACG_L002_R1_004.extract.fastq.gz	nema_testdata/0Hour_ATCACG_L002_R2_004.extract.fastq.gz	time0
0Hour	005	nema_testdata/0Hour_ATCACG_L002_R1_005.extract.fastq.gz	nema_testdata/0Hour_ATCACG_L002_R2_005.extract.fastq.gz	time0
6Hour	001	nema_testdata/6Hour_CGATGT_L002_R1_001.extract.fastq.gz	nema_testdata/6Hour_CGATGT_L002_R2_001.extract.fastq.gz	time6
6Hour	002	nema_testdata/6Hour_CGATGT_L002_R1_002.extract.fastq.gz	nema_testdata/6Hour_CGATGT_L002_R2_002.extract.fastq.gz	time6
6Hour	003	nema_testdata/6Hour_CGATGT_L002_R1_003.extract.fastq.gz	nema_testdata/6Hour_CGATGT_L002_R2_003.extract.fastq.gz	time6
6Hour	004	nema_testdata/6Hour_CGATGT_L002_R1_004.extract.fastq.gz	nema_testdata/6Hour_CGATGT_L002_R2_004.extract.fastq.gz	time6
6Hour	005	nema_testdata/6Hour_CGATGT_L002_R1_005.extract.fastq.gz	nema_testdata/6Hour_CGATGT_L002_R2_005.extract.fastq.gz	time6
